Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.483
Antigua and Barbuda,ATG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.5
Antigua and Barbuda,ATG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,107.7999088
Antigua and Barbuda,ATG,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,107.7373613
Antigua and Barbuda,ATG,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,107.8607861
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.1648
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.5114484
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,29808.80735
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.806
Argentina,ARG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.3
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,114.1481171
Argentina,ARG,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,117.5660095
Argentina,ARG,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,110.9140167
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.3754
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.805
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.11283819
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19161.37005
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.76585366
Armenia,ARM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,9.3
Armenia,ARM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,91.71066099
Armenia,ARM,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,90.12154251
Armenia,ARM,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,93.20255891
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.0277
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.379
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.56244629
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,41758.89576
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.226
Aruba,ABW,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..
Aruba,ABW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,131.8021698
Aruba,ABW,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,137.2876434
Aruba,ABW,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,126.5452499
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.88116579
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,66046.59863
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.2
Australia,AUS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.2
Australia,AUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,133.2772675
Australia,AUS,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,130.5630798
Australia,AUS,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,135.8332825
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.0424
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.728
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.33432683
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,70734.94256
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.29512195
Austria,AUT,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.7
Austria,AUT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,101.4580002
Austria,AUT,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,100.4536285
Austria,AUT,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,102.4068527
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.6141
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.992
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.99808513
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22552.08866
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.125
Azerbaijan,AZE,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,14.1
Azerbaijan,AZE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,90.95303642
Azerbaijan,AZE,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,88.78762019
Azerbaijan,AZE,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,92.83947721
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,88
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.65
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.43828159
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,36791.40105
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.491
"Bahamas, The",BHS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.6
"Bahamas, The",BHS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..
"Bahamas, The",BHS,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..
"Bahamas, The",BHS,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,..
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.7326
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.272
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.3200717
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,61677.65385
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.992
Bahrain,BHR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7
Bahrain,BHR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,103.393223
Bahrain,BHR,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,106.4660089
Bahrain,BHR,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,100.673174
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,100
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bahrain,BHR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.326
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8450.549025
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.265
Bangladesh,BGD,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,24.4
Bangladesh,BGD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,67.03845864
Bangladesh,BGD,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,72.27311442
Bangladesh,BGD,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,61.96990527
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,41.6165
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.4
Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.593
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.67373473
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22193.24871
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.676
Barbados,BRB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,9.6
Barbados,BRB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,104.2223282
Barbados,BRB,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,106.2015533
Barbados,BRB,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,102.3255768
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,79.4451
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Barbados,BRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.365
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.35385141
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,28429.49488
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.10336585
Belarus,BLR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2
Belarus,BLR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,99.06020329
Belarus,BLR,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,97.78283295
Belarus,BLR,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,100.2669348
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.5073
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belarus,BLR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.574
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.47327879
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,68157.83479
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.74878049
Belgium,BEL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.1
Belgium,BEL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,142.9180756
Belgium,BEL,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,151.8265839
Belgium,BEL,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,134.4789276
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.0078
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.57
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.48920027
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13461.20985
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.19
Belize,BLZ,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,10.9
Belize,BLZ,"School enrollment, secondary (% gross)",SE.SEC.ENRR,87.43816686
Belize,BLZ,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,89.0278593
Belize,BLZ,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,85.90302607
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.8096
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.6
Belize,BLZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.763
Belize,BLZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.13732513
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3844.154157
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.475
Benin,BEN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,47.7
Benin,BEN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,43.56064987
Benin,BEN,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,40.28184891
Benin,BEN,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,46.7407608
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,30.0134
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,56.5
Benin,BEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.685
Benin,BEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.9627
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,105142.41
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.062
Bermuda,BMU,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..
Bermuda,BMU,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..
Bermuda,BMU,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..
Bermuda,BMU,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,..
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bermuda,BMU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15063.81058
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.754
Bhutan,BTN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,19.1
Bhutan,BTN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,89.98291294
Bhutan,BTN,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,98.56279161
Bhutan,BTN,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,82.06679992
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.2903
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bhutan,BTN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.947
Bhutan,BTN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.93651436
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12306.72931
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.434
Bolivia,BOL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,20.7
Bolivia,BOL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,90.37293382
Bolivia,BOL,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,90.3370507
Bolivia,BOL,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,90.4073497
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,67.3612
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9
Bolivia,BOL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.552
Bolivia,BOL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.63525987
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,21117.28308
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.777
Bosnia and Herzegovina,BIH,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.5
Bosnia and Herzegovina,BIH,"School enrollment, secondary (% gross)",SE.SEC.ENRR,87.03739929
Bosnia and Herzegovina,BIH,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,89.25509644
Bosnia and Herzegovina,BIH,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,84.98442078
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.8455
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.657
Bosnia and Herzegovina,BIH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.02152871
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19976.83438
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.749
Botswana,BWA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,39.2
Botswana,BWA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..
Botswana,BWA,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..
Botswana,BWA,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,..
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.3696
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,75.9
Botswana,BWA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,23.615
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.58897872
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19876.85335
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.872
Brazil,BRA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.6
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,106.031189
Brazil,BRA,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,108.7839279
Brazil,BRA,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,103.4352264
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.5278
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.231
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.34955624
British Virgin Islands,VGB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.177
British Virgin Islands,VGB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12
British Virgin Islands,VGB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,72.2840271
British Virgin Islands,VGB,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,70.31873322
British Virgin Islands,VGB,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,74.19355011
British Virgin Islands,VGB,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
British Virgin Islands,VGB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
British Virgin Islands,VGB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
British Virgin Islands,VGB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.79591169
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,81801.74592
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.917
Brunei Darussalam,BRN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.3
Brunei Darussalam,BRN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,89.85136506
Brunei Darussalam,BRN,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,91.59011574
Brunei Darussalam,BRN,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,88.24552473
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.9704
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.191
Brunei Darussalam,BRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.7772642
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,35815.27142
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.16097561
Bulgaria,BGR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.1
Bulgaria,BGR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,96.67207336
Bulgaria,BGR,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,95.5302887
Bulgaria,BGR,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,97.74665833
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,79.1269
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
